INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (2, 2, 13, 4, 7, 3, 'NULL', '2024-12-26 00:40:31', 2, '2025-01-19', '2025-02-28');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (19, 7, 8, 3, 14, 3, 'NULL', '2025-01-23 06:59:30', 2, '2025-02-19', '2025-03-04');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (8, 15, 4, 4, 10, 3, 'NULL', '2024-12-27 01:36:54', 4, '2025-01-07', '2025-01-14');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (5, 7, 4, 5, 18, 'NULL', 9, '2024-11-12 19:37:10', 2, '2025-02-15', '2025-02-21');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (14, 19, 10, 2, 16, 2, 'NULL', '2024-11-09 01:28:50', 3, '2024-11-24', '2024-12-20');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (20, 2, 1, 1, 18, 'NULL', 9, '2025-01-18 13:41:19', 4, '2025-02-14', '2025-02-18');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (10, 2, 15, 2, 20, 'NULL', 9, '2025-01-12 21:46:09', 2, '2025-01-17', '2025-01-23');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (6, 18, 19, 4, 13, 'NULL', 9, '2025-01-23 22:57:34', 2, '2025-03-01', '2025-03-01');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (7, 1, 11, 5, 4, 2, 'NULL', '2025-01-07 17:21:41', 4, '2025-03-04', '2025-03-04');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (15, 5, 9, 1, 12, 'NULL', 9, '2024-12-04 19:19:04', 3, '2025-01-27', '2025-02-10');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (18, 4, 6, 2, 12, 'NULL', 9, '2025-01-11 19:42:01', 2, '2025-02-05', '2025-02-10');
